SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO_TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
Gelato by meiji,e8:4d:74:b0:3f:dc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,10,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,59:00.0,01:40.6,Infrastructure,Unknown,38,-80,Gelato by meiji,e8:4d:74:b0:3f:dc,-82,2457,102.13685858059527,19.891492169569226
c60146ac,50:2c:c6:01:46:ac,"GREE ELECTRIC APPLIANCES, INC. OF ZHUHAI",0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,59:03.4,02:04.5,Infrastructure,Unknown,72,-68,c60146ac,50:2c:c6:01:46:ac,-85,2412,102.13685858059527,19.891492169569226
KC 1,14:4d:67:53:b8:ac,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",59:14.1,02:35.7,Infrastructure,Unknown,85,-56,KC 1,14:4d:67:53:b8:ac,-58,2437,102.13401481508332,19.88946051465299
Ti,f4:4c:7f:7e:6f:a0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,12,0,0,"1,2,5.5,11,18,24,36,54","6,9,12,48",59:14.1,01:23.4,Infrastructure,Unknown,60,-73,Ti,f4:4c:7f:7e:6f:a0,-91,2467,102.13713758412538,19.89174946757575
Gelato by meiji,e8:4d:74:b0:3f:e0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,59:26.7,01:23.4,Infrastructure,Unknown,46,-77,Gelato by meiji,e8:4d:74:b0:3f:e0,-80,5745,102.13685858059527,19.891492169569226
OPPO A31,f6:67:28:8d:a1:77,Unknown,0,WPA2-Personal,CCMP,802.11ac,10,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",59:37.7,01:46.8,Infrastructure,Unknown,33,-82,OPPO A31,f6:67:28:8d:a1:77,-80,2457,102.13652590702796,19.891289837523026
MS2,6c:14:6e:72:88:f8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,59:45.1,02:17.0,Infrastructure,Unknown,65,-71,MS2,6c:14:6e:72:88:f8,-86,2462,102.13652590702796,19.891289837523026
HUAWEI Y5 Prime 2018,0e:fc:52:af:5b:d5,Unknown,0,WPA2-Personal,CCMP,802.11ac,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",59:45.1,02:57.3,Infrastructure,Unknown,60,-73,HUAWEI Y5 Prime 2018,0e:fc:52:af:5b:d5,-89,2437,102.13606043935285,19.891086968388965
MK,6c:14:6e:e1:96:1c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,4,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,00:01.3,03:04.3,Infrastructure,Unknown,65,-71,MK,6c:14:6e:e1:96:1c,-70,2427,102.13571701453334,19.890749768860783
MS2,6c:14:6e:72:88:fc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,00:01.3,02:12.4,Infrastructure,Unknown,35,-81,MS2,6c:14:6e:72:88:fc,-82,5745,102.13652590702796,19.891289837523026
MK,6c:14:6e:6f:86:e0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,10,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,00:39.0,03:01.2,Infrastructure,Unknown,85,-55,MK,6c:14:6e:6f:86:e0,-67,2457,102.13571701453334,19.890749768860783
MK,6c:14:6e:6f:86:e4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,00:42.2,03:30.0,Infrastructure,Unknown,84,-57,MK,6c:14:6e:6f:86:e4,-61,5745,102.13571701453334,19.890749768860783
GW_AP_32281998,04:39:26:52:6f:88,China Dragon Technology Limited,0,Open,,802.11n,11,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",00:42.2,02:38.7,Infrastructure,Unknown,20,-88,GW_AP_32281998,04:39:26:52:6f:88,-92,2462,102.13571701453334,19.890749768860783
MK,6c:14:6e:e1:96:20,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,00:46.1,02:43.7,Infrastructure,Unknown,35,-81,MK,6c:14:6e:e1:96:20,-74,5745,102.13571701453334,19.890749768860783
The North Face,5c:92:5e:2c:08:74,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11ac,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",01:01.7,03:04.3,Infrastructure,Unknown,90,-46,The North Face,5c:92:5e:2c:08:74,-64,2412,102.13571701453334,19.890749768860783
Daophone,14:46:58:e6:1e:28,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,01:01.7,03:12.3,Infrastructure,Unknown,83,-59,Daophone,14:46:58:e6:1e:28,-81,5745,102.13571701453334,19.890749768860783
Daophone,14:46:58:e6:1e:24,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,01:08.4,03:04.3,Infrastructure,Unknown,70,-69,Daophone,14:46:58:e6:1e:24,-85,2412,102.13571701453334,19.890749768860783
PHAN BOUN 5G,2a:53:4e:46:9f:40,Unknown,0,WPA2-Personal,CCMP,802.11ax,36,0,0,"6,9,12,18,24,36,48,54",,01:19.6,03:30.0,Infrastructure,Unknown,78,-66,PHAN BOUN 5G,2a:53:4e:46:9f:40,-67,5180,102.13534859619465,19.890437772869387
Galaxy A1221C3,86:39:2d:b6:46:ac,Unknown,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",01:21.4,03:56.3,Infrastructure,Unknown,81,-62,Galaxy A1221C3,86:39:2d:b6:46:ac,-82,2412,102.13496104159184,19.89016200229139
phanboun,2a:53:4e:46:9f:3c,Unknown,0,WPA2-Personal,CCMP,802.11ax,11,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,01:23.4,03:34.7,Infrastructure,Unknown,60,-73,phanboun,2a:53:4e:46:9f:3c,-63,2462,102.13534859619465,19.890437772869387
Phanboun1,28:87:ba:86:eb:14,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11n,10,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",01:23.4,04:02.5,Infrastructure,Unknown,83,-58,Phanboun1,28:87:ba:86:eb:14,-57,2457,102.13534859619465,19.890437772869387
"phanbaun3,5g",2a:53:4e:46:d2:60,Unknown,0,WPA2-Personal,CCMP,802.11ax,36,0,0,"6,9,12,18,24,36,48,54",,01:27.6,03:30.0,Infrastructure,Unknown,82,-61,"phanbaun3,5g",2a:53:4e:46:d2:60,-82,5180,102.13534859619465,19.890437772869387
yujinxin,d8:59:82:37:65:f0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,01:29.7,04:09.9,Infrastructure,Unknown,78,-66,yujinxin,d8:59:82:37:65:f0,-88,5180,102.13496104159184,19.89016200229139
YTA,14:46:58:e7:5b:2c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,01:29.7,03:34.7,Infrastructure,Unknown,65,-71,YTA,14:46:58:e7:5b:2c,-80,5745,102.13534859619465,19.890437772869387
host-0e:fd:82,6c:22:1a:0e:fd:82,Unknown,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",01:34.2,03:34.7,Infrastructure,Unknown,78,-66,host-0e:fd:82,6c:22:1a:0e:fd:82,-58,2437,102.13534859619465,19.890437772869387
Pavina,5c:a6:e6:f1:5d:57,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",01:34.2,04:22.2,Infrastructure,Unknown,83,-58,Pavina,5c:a6:e6:f1:5d:57,-72,2422,102.13496104159184,19.89016200229139
Sakhone,e4:3e:c6:4f:26:b4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,7,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,01:36.3,03:34.7,Infrastructure,Unknown,24,-86,Sakhone,e4:3e:c6:4f:26:b4,-86,2442,102.13534859619465,19.890437772869387
ENG-AAAA,f0:9b:b8:da:f8:78,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,4,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,01:51.5,03:45.3,Infrastructure,Unknown,24,-86,ENG-AAAA,f0:9b:b8:da:f8:78,-85,2427,102.13496104159184,19.89016200229139
LANQI BOTIGUE,1c:3c:d4:0a:cd:a9,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,48,0,0,"6,9,12,18,24,36,48,54",,01:55.3,04:26.4,Infrastructure,Unknown,65,-71,LANQI BOTIGUE,1c:3c:d4:0a:cd:a9,-80,5240,102.13476138556408,19.890003517129152
XUAN THUAN,e8:f6:54:7e:db:28,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,5,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,01:58.4,04:30.0,Infrastructure,Unknown,87,-51,XUAN THUAN,e8:f6:54:7e:db:28,-59,2432,102.13476138556408,19.890003517129152
XUAN THUAN,e8:f6:54:7e:db:2d,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,48,0,0,"6,9,12,18,24,36,48,54",,02:02.8,04:30.0,Infrastructure,Unknown,82,-61,XUAN THUAN,e8:f6:54:7e:db:2d,-67,5240,102.13476138556408,19.890003517129152
MiMo,b8:d6:f6:35:95:5c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,9,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,02:22.7,04:22.2,Infrastructure,Unknown,29,-84,MiMo,b8:d6:f6:35:95:5c,-74,2452,102.13476138556408,19.890003517129152
EternLPB-T13,54:75:95:20:6a:db,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11n,7,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",02:35.7,04:34.3,Infrastructure,Unknown,75,-67,EternLPB-T13,54:75:95:20:6a:db,-68,2442,102.1343590375973,19.8897018674111
ZHU,64:5e:10:5a:8a:b0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,02:45.2,04:59.6,Infrastructure,Unknown,80,-64,ZHU,64:5e:10:5a:8a:b0,-75,5745,102.1343590375973,19.8897018674111
Latlaeng Garden,5c:64:7a:63:03:18,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,02:57.3,05:23.0,Infrastructure,Unknown,26,-85,Latlaeng Garden,5c:64:7a:63:03:18,-84,5180,102.13401481508332,19.88946051465299
86 market,9c:65:ee:3d:44:df,DZS Inc.,0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",02:57.3,05:45.7,Infrastructure,Unknown,72,-68,86 market,9c:65:ee:3d:44:df,-74,2462,102.13401481508332,19.88946051465299
LDB PAKHAM EXC UNIT,d8:59:82:37:ab:10,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,02:57.3,06:07.9,Infrastructure,Unknown,53,-75,LDB PAKHAM EXC UNIT,d8:59:82:37:ab:10,-81,5180,102.13401481508332,19.88946051465299
Lith,98:1a:35:ca:ca:00,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,02:57.3,04:59.6,Infrastructure,Unknown,60,-73,Lith,98:1a:35:ca:ca:00,-80,5745,102.1343590375973,19.8897018674111
wifi@avani+,44:31:92:1f:b5:00,Hewlett Packard,0,Open,,802.11n,132,0,0,"6,9,12,18,24,36,48,54",,03:01.2,07:50.8,Infrastructure,Unknown,82,-61,wifi@avani+,44:31:92:1f:b5:00,-73,5660,102.13364490696311,19.88925497307845
AVANI@Function,44:31:92:1f:b5:03,Hewlett Packard,0,Open,,802.11n,132,0,0,"6,9,12,18,24,36,48,54",,03:01.2,07:50.8,Infrastructure,Unknown,82,-61,AVANI@Function,44:31:92:1f:b5:03,-74,5660,102.13364490696311,19.88925497307845
ZHU,64:5e:10:5a:8a:ac,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,2,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,03:04.3,05:06.9,Infrastructure,Unknown,53,-75,ZHU,64:5e:10:5a:8a:ac,-73,2417,102.1343590375973,19.8897018674111
pompom,80:af:ca:21:19:70,"Shenzhen Cudy Technology Co., Ltd.",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",03:04.3,05:45.7,Infrastructure,Unknown,62,-72,pompom,80:af:ca:21:19:70,-72,2462,102.13401481508332,19.88946051465299
Lat Laeng Garden 2,c8:b3:73:0d:7e:a1,"Cisco-Linksys, LLC",0,WPA2-Personal,CCMP,802.11g,11,0,0,"1,2,5.5,11,18,24,36,54","6,9,12,48",03:04.3,05:06.9,Infrastructure,Unknown,40,-79,Lat Laeng Garden 2,c8:b3:73:0d:7e:a1,-89,2462,102.13401481508332,19.88946051465299
Touy,80:af:ca:21:1b:e4,"Shenzhen Cudy Technology Co., Ltd.",0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",03:04.3,05:21.1,Infrastructure,Unknown,82,-61,Touy,80:af:ca:21:1b:e4,-70,2437,102.1343590375973,19.8897018674111
Touy,80:af:ca:21:1b:e6,"Shenzhen Cudy Technology Co., Ltd.",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,03:04.3,05:23.0,Infrastructure,Unknown,50,-76,Touy,80:af:ca:21:1b:e6,-82,5745,102.1343590375973,19.8897018674111
INDIGO@CAFE,a2:a2:f4:22:d2:a8,Unknown,0,WPA2-Personal,CCMP,802.11ac,6,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",03:04.3,05:23.0,Infrastructure,Unknown,65,-71,INDIGO@CAFE,a2:a2:f4:22:d2:a8,-77,2437,102.13401481508332,19.88946051465299
INDIGO@HOTEL,9c:a2:f4:22:d2:a8,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ac,6,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",03:04.3,05:23.0,Infrastructure,Unknown,67,-70,INDIGO@HOTEL,9c:a2:f4:22:d2:a8,-87,2437,102.13364490696311,19.88925497307845
pompom,80:af:ca:21:19:72,"Shenzhen Cudy Technology Co., Ltd.",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,03:12.3,05:23.0,Infrastructure,Unknown,24,-86,pompom,80:af:ca:21:19:72,-87,5180,102.13401481508332,19.88946051465299
LDB EXC PAKHAM UNIT,d8:59:82:37:ab:0c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,03:12.3,07:21.0,Infrastructure,Unknown,75,-67,LDB EXC PAKHAM UNIT,d8:59:82:37:ab:0c,-66,2422,102.13401481508332,19.88946051465299
wifi@avani+,44:31:92:1f:b5:10,Hewlett Packard,0,Open,,802.11n,11,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",03:12.3,08:20.1,Infrastructure,Unknown,83,-58,wifi@avani+,44:31:92:1f:b5:10,-63,2462,102.13338689596782,19.889116275978505
INDIGO@HOTEL,9c:a2:f4:22:d2:a9,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ac,157,0,0,"6,9,12,18,24,36,48,54",,03:12.3,05:21.1,Infrastructure,Unknown,40,-79,INDIGO@HOTEL,9c:a2:f4:22:d2:a9,-82,5785,102.1343590375973,19.8897018674111
X32_5G,b0:df:c1:a6:6d:15,"Tenda Technology Co.,Ltd.Dongguan branch",0,WPA2-Personal,CCMP,802.11ac,153,0,0,"6,9,12,18,24,36,48,54",,03:18.9,05:23.0,Infrastructure,Unknown,43,-78,X32_5G,b0:df:c1:a6:6d:15,-80,5765,102.13401481508332,19.88946051465299
INDIGO@CAFE,a2:a2:f4:22:d2:a9,Unknown,0,WPA2-Personal,CCMP,802.11ac,157,0,0,"6,9,12,18,24,36,48,54",,03:18.9,05:21.1,Infrastructure,Unknown,40,-79,INDIGO@CAFE,a2:a2:f4:22:d2:a9,-82,5785,102.1343590375973,19.8897018674111
X32,b0:df:c1:a6:6d:11,"Tenda Technology Co.,Ltd.Dongguan branch",0,WPA2-Personal,CCMP,802.11n,10,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",03:18.9,05:21.1,Infrastructure,Unknown,65,-71,X32,b0:df:c1:a6:6d:11,-76,2457,102.13401481508332,19.88946051465299
EPL,14:4d:67:53:94:e4,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",03:24.8,07:45.9,Infrastructure,Unknown,90,-47,EPL,14:4d:67:53:94:e4,-69,2412,102.13313822830064,19.88872905073834
Visouda,14:46:58:e7:80:f8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,03:24.8,05:23.0,Infrastructure,Unknown,35,-81,Visouda,14:46:58:e7:80:f8,-82,5745,102.13401481508332,19.88946051465299
Lao Coffee Bean,28:87:ba:f5:60:fb,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ac,44,0,0,"6,9,12,18,24,36,48,54",,03:24.8,07:21.0,Infrastructure,Unknown,62,-72,Lao Coffee Bean,28:87:ba:f5:60:fb,-76,5220,102.13401481508332,19.88946051465299
wifi@avani+,44:31:92:b3:d6:a1,Hewlett Packard,0,Open,,802.11n,108,0,0,"6,9,12,18,24,36,48,54",,03:30.0,08:27.4,Infrastructure,Unknown,80,-65,wifi@avani+,44:31:92:b3:d6:a1,-70,5540,102.13313822830064,19.88872905073834
Mee,64:5e:10:5a:85:b4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,03:30.0,05:45.7,Infrastructure,Unknown,67,-70,Mee,64:5e:10:5a:85:b4,-77,2422,102.13401481508332,19.88946051465299
Mee,64:5e:10:5a:85:b8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,03:30.0,05:23.0,Infrastructure,Unknown,80,-65,Mee,64:5e:10:5a:85:b8,-63,5745,102.13401481508332,19.88946051465299
ATHITHTANG Group ,e8:f6:54:7e:d0:cd,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,5,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,03:34.7,07:21.0,Infrastructure,Unknown,43,-78,ATHITHTANG Group ,e8:f6:54:7e:d0:cd,-84,2432,102.13401481508332,19.88946051465299
JohnnY Super WiFi 5G+,e8:f6:54:7e:d0:d1,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,48,0,0,"6,9,12,18,24,36,48,54",,03:34.7,07:21.0,Infrastructure,Unknown,35,-81,JohnnY Super WiFi 5G+,e8:f6:54:7e:d0:d1,-84,5240,102.13401481508332,19.88946051465299
AVANI@Function,44:31:92:b3:d6:a0,Hewlett Packard,0,Open,,802.11n,108,0,0,"6,9,12,18,24,36,48,54",,03:34.7,08:27.4,Infrastructure,Unknown,80,-65,AVANI@Function,44:31:92:b3:d6:a0,-69,5540,102.13313822830064,19.88872905073834
Jou_Berger,98:25:4a:c9:a1:84,Unknown,0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",03:40.0,07:03.1,Infrastructure,Unknown,85,-55,Jou_Berger,98:25:4a:c9:a1:84,-78,2462,102.13401481508332,19.88946051465299
DGB-659584-BLRNP,00:02:02:33:60:37,"Amino Communications, Ltd.",0,Open,,802.11g,11,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",03:40.0,05:23.0,Infrastructure,Unknown,62,-72,DGB-659584-BLRNP,00:02:02:33:60:37,-85,2462,102.13401481508332,19.88946051465299
Lao Coffee Bean,28:87:ba:f5:60:f9,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11n,4,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",03:40.0,07:21.0,Infrastructure,Unknown,70,-69,Lao Coffee Bean,28:87:ba:f5:60:f9,-65,2427,102.13401481508332,19.88946051465299
Phim,e8:f6:54:7e:d0:cc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,5,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,03:45.3,07:21.0,Infrastructure,Unknown,62,-72,Phim,e8:f6:54:7e:d0:cc,-73,2432,102.13401481508332,19.88946051465299
Wirelessnet19,3c:e8:24:dd:7a:50,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,9,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",03:45.3,07:43.1,Infrastructure,Unknown,72,-68,Wirelessnet19,3c:e8:24:dd:7a:50,-80,2452,102.13338689596782,19.889116275978505
4G-UFI-27B,a0:2e:40:40:12:7b,Unknown,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",03:45.3,07:21.0,Infrastructure,Unknown,57,-74,4G-UFI-27B,a0:2e:40:40:12:7b,-88,2437,102.13401481508332,19.88946051465299
wifi@avani+,78:48:59:15:bf:21,Hewlett Packard,0,Open,,802.11n,132,0,0,"6,9,12,18,24,36,48,54",,03:49.1,08:34.8,Infrastructure,Unknown,81,-63,wifi@avani+,78:48:59:15:bf:21,-65,5660,102.13313822830064,19.88872905073834
TCC-HH-MFG,54:b8:0a:2d:0b:a8,D-Link International,0,WPA2-Personal,CCMP,802.11ac,157,0,0,"6,9,12,18,24,36,48,54",,03:49.1,07:50.8,Infrastructure,Unknown,62,-72,TCC-HH-MFG,54:b8:0a:2d:0b:a8,-73,5785,102.13338689596782,19.889116275978505
AVANI@Function,78:48:59:15:bf:20,Hewlett Packard,0,Open,,802.11n,132,0,0,"6,9,12,18,24,36,48,54",,03:53.8,08:34.8,Infrastructure,Unknown,81,-63,AVANI@Function,78:48:59:15:bf:20,-65,5660,102.13313822830064,19.88872905073834
AVANI@Function,44:31:92:1f:b5:13,Hewlett Packard,0,Open,,802.11n,11,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",03:56.3,08:20.1,Infrastructure,Unknown,85,-55,AVANI@Function,44:31:92:1f:b5:13,-70,2462,102.13364490696311,19.88925497307845
Amazon 2,f0:9b:b8:da:6b:1c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,03:56.3,07:50.8,Infrastructure,Unknown,65,-71,Amazon 2,f0:9b:b8:da:6b:1c,-82,5745,102.13326693922984,19.889501808421556
PAISANY5G,a6:a4:6b:20:88:1c,Unknown,0,WPA2-Personal,CCMP,802.11ax,36,0,0,"6,9,12,18,24,36,48,54",,03:59.6,08:07.0,Infrastructure,Unknown,85,-56,PAISANY5G,a6:a4:6b:20:88:1c,-84,5180,102.13338689596782,19.889116275978505
AVANI@Function,44:31:92:b3:d6:b0,Hewlett Packard,0,Open,,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",04:02.5,07:50.8,Infrastructure,Unknown,86,-53,AVANI@Function,44:31:92:b3:d6:b0,-62,2412,102.13313822830064,19.88872905073834
T-PLUSE LPB,14:4d:67:67:e4:a8,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",04:02.5,06:58.5,Infrastructure,Unknown,85,-55,T-PLUSE LPB,14:4d:67:67:e4:a8,-65,2412,102.13323157932388,19.889446900522294
Rkeeper,14:4d:67:67:c4:70,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",04:02.5,09:46.8,Infrastructure,Unknown,89,-48,Rkeeper,14:4d:67:67:c4:70,-67,2412,102.13285241643165,19.888451881729168
Amazon 2,f0:9b:b8:da:6b:18,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,9,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,04:07.4,07:08.9,Infrastructure,Unknown,75,-67,Amazon 2,f0:9b:b8:da:6b:18,-56,2452,102.13326693922984,19.889501808421556
Thepphavong,50:eb:f6:14:74:d8,ASUSTek COMPUTER INC.,0,WPA2-Personal,CCMP,802.11ax,7,0,0,"1,2,5.5,11,18,24,36,54","6,9,12,48",04:09.9,07:21.0,Infrastructure,Unknown,26,-85,Thepphavong,50:eb:f6:14:74:d8,-85,2442,102.13326693922984,19.889501808421556
HUAWEI-99df,88:66:39:15:3b:30,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",04:09.9,06:19.9,Infrastructure,Unknown,31,-83,HUAWEI-99df,88:66:39:15:3b:30,-79,2462,102.13326693922984,19.889501808421556
Houngvilai1,f4:28:53:e9:86:a0,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",04:26.4,06:58.5,Infrastructure,Unknown,65,-71,Houngvilai1,f4:28:53:e9:86:a0,-70,2412,102.13323157932388,19.889446900522294
Amazon 1,f0:9b:b8:da:63:10,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,10,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,04:26.4,07:21.0,Infrastructure,Unknown,33,-82,Amazon 1,f0:9b:b8:da:63:10,-80,2457,102.13326693922984,19.889501808421556
