SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO_TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
Phim,dc:21:e2:98:70:34,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,7,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,56:57.5,58:54.3,Infrastructure,Unknown,33,-82,Phim,dc:21:e2:98:70:34,-77,2442,102.13834342153744,19.892653214444568
Rainforest,6c:14:6e:70:aa:98,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,2,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:01.8,59:08.9,Infrastructure,Unknown,46,-77,Rainforest,6c:14:6e:70:aa:98,-66,2417,102.13834342153744,19.892653214444568
Good snacks 2,d4:e8:53:d6:4c:61,"Hangzhou Hikvision Digital Technology Co.,Ltd.",0,WPA2-Personal,CCMP,802.11n,4,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:09.0,58:57.3,Infrastructure,Unknown,35,-81,Good snacks 2,d4:e8:53:d6:4c:61,-78,2427,102.13834342153744,19.892653214444568
rustic ,6c:14:6e:6f:e5:50,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,57:09.0,59:00.0,Infrastructure,Unknown,75,-67,rustic ,6c:14:6e:6f:e5:50,-65,5745,102.13834342153744,19.892653214444568
SAM SAN 3,9c:2b:a6:b2:9d:c2,"Ruijie Networks Co.,LTD",0,WPA2-Personal,CCMP,802.11ac,52,0,0,"6,9,12,18,24,36,48,54",,57:11.9,00:17.9,Infrastructure,Unknown,53,-75,SAM SAN 3,9c:2b:a6:b2:9d:c2,-76,5260,102.13798504335018,19.89238047272535
DIRECT-D2-EPSON-1BEE21,66:c6:d2:1b:6e:21,Unknown,0,WPA2-Personal,CCMP,802.11n,6,0,0,"6,9,12,18,24,36,48,54",,57:11.9,59:17.7,Infrastructure,Unknown,26,-85,DIRECT-D2-EPSON-1BEE21,66:c6:d2:1b:6e:21,-79,2437,102.13834342153744,19.892653214444568
YuniYupoun_POS,0c:80:63:3a:10:e3,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:11.9,57:11.9,Infrastructure,Unknown,80,-64,YuniYupoun_POS,0c:80:63:3a:10:e3,-90,2462,102.13798504335018,19.89238047272535
NISO,f4:28:53:e9:92:0c,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:11.9,59:22.4,Infrastructure,Unknown,86,-54,NISO,f4:28:53:e9:92:0c,-60,2412,102.13834342153744,19.892653214444568
BFL,50:5d:ac:70:6f:cc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:16.9,59:26.7,Infrastructure,Unknown,60,-73,BFL,50:5d:ac:70:6f:cc,-64,2462,102.13798504335018,19.89238047272535
TP-Link_649F_5G,1c:61:b4:00:64:9d,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,57:20.9,59:41.5,Infrastructure,Unknown,35,-81,TP-Link_649F_5G,1c:61:b4:00:64:9d,-75,5180,102.13798504335018,19.89238047272535
Sena,64:5e:10:6d:81:d4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,57:24.4,59:53.6,Infrastructure,Unknown,80,-65,Sena,64:5e:10:6d:81:d4,-55,5745,102.13798504335018,19.89238047272535
Sena,64:5e:10:6d:81:d0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,4,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:24.4,59:24.7,Infrastructure,Unknown,62,-72,Sena,64:5e:10:6d:81:d0,-49,2427,102.13798504335018,19.89238047272535
HUAWEI-39dE,5c:e8:83:8e:00:a0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,57:29.5,59:26.7,Infrastructure,Unknown,16,-90,HUAWEI-39dE,5c:e8:83:8e:00:a0,-83,5745,102.13798504335018,19.89238047272535
SAM SAN 2,9c:2b:a6:b2:9e:93,"Ruijie Networks Co.,LTD",0,WPA2-Personal,CCMP,802.11n,12,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:29.5,59:50.1,Infrastructure,Unknown,60,-73,SAM SAN 2,9c:2b:a6:b2:9e:93,-69,2467,102.13771945086296,19.892225339401183
Mookata,1c:61:b4:00:64:9e,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:29.5,59:24.7,Infrastructure,Unknown,57,-74,Mookata,1c:61:b4:00:64:9e,-69,2437,102.13798504335018,19.89238047272535
Samsan1,14:46:58:e7:1d:f4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,57:37.7,59:35.7,Infrastructure,Unknown,43,-78,Samsan1,14:46:58:e7:1d:f4,-83,5745,102.13771945086296,19.892225339401183
HUAWEI-5G-5Wz7,2a:53:4e:46:b5:a0,Unknown,0,WPA2-Personal,CCMP,802.11ax,36,0,0,"6,9,12,18,24,36,48,54",,57:37.7,00:01.3,Infrastructure,Unknown,81,-63,HUAWEI-5G-5Wz7,2a:53:4e:46:b5:a0,-76,5180,102.13771945086296,19.892225339401183
Sena_plus,a4:a9:30:17:26:47,Unknown,0,WPA2-Personal,CCMP,802.11n,4,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:37.7,59:31.7,Infrastructure,Unknown,50,-76,Sena_plus,a4:a9:30:17:26:47,-89,2427,102.13771945086296,19.892225339401183
HOMETOWN,5c:e8:83:8e:00:9c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:37.7,59:31.7,Infrastructure,Unknown,43,-78,HOMETOWN,5c:e8:83:8e:00:9c,-88,2412,102.13771945086296,19.892225339401183
khm Restaurant,c8:3a:35:33:06:c0,"Tenda Technology Co., Ltd.",0,WPA2-Personal,CCMP,802.11n,10,0,0,"1,2,5.5,11,18,24,36,54","6,9,12,48",57:37.7,59:31.7,Infrastructure,Unknown,14,-91,khm Restaurant,c8:3a:35:33:06:c0,-86,2457,102.13798504335018,19.89238047272535
SAM SAN 2,9c:2b:a6:b2:9e:94,"Ruijie Networks Co.,LTD",0,WPA2-Personal,CCMP,802.11ac,52,0,0,"6,9,12,18,24,36,48,54",,57:37.7,59:41.5,Infrastructure,Unknown,35,-81,SAM SAN 2,9c:2b:a6:b2:9e:94,-83,5260,102.13798504335018,19.89238047272535
PS4-D27FB37EACE5,ec:0e:c4:ab:63:57,"Hon Hai Precision Ind. Co.,Ltd.",0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:44.2,59:35.7,Infrastructure,Unknown,35,-81,PS4-D27FB37EACE5,ec:0e:c4:ab:63:57,-77,2437,102.13798504335018,19.89238047272535
SAM SAN 3,9c:2b:a6:b2:9d:c1,"Ruijie Networks Co.,LTD",0,WPA2-Personal,CCMP,802.11n,12,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:47.5,01:01.7,Infrastructure,Unknown,60,-73,SAM SAN 3,9c:2b:a6:b2:9d:c1,-74,2467,102.13834342153744,19.892653214444568
Queenaly,24:43:e2:92:53:18,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:47.5,00:17.9,Infrastructure,Unknown,75,-67,Queenaly,24:43:e2:92:53:18,-66,2422,102.13771945086296,19.892225339401183
Mandalaotour3,f4:28:53:f3:c5:70,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:51.4,00:28.3,Infrastructure,Unknown,88,-49,Mandalaotour3,f4:28:53:f3:c5:70,-67,2412,102.13752631944342,19.89203785040277
Mandalaotour2,04:e7:95:3d:05:18,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,57:54.6,00:26.8,Infrastructure,Unknown,80,-64,Mandalaotour2,04:e7:95:3d:05:18,-74,5745,102.13752631944342,19.89203785040277
Mandalaotour1,98:1a:35:83:d2:b0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,57:54.6,00:28.3,Infrastructure,Unknown,75,-67,Mandalaotour1,98:1a:35:83:d2:b0,-77,5745,102.13771945086296,19.892225339401183
Mandalaotour1,98:1a:35:83:d2:ac,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,9,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:54.6,00:25.1,Infrastructure,Unknown,84,-57,Mandalaotour1,98:1a:35:83:d2:ac,-60,2452,102.13752631944342,19.89203785040277
Shared WiFi 3,36:69:87:3d:1e:51,Unknown,0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:54.6,00:05.2,Infrastructure,Unknown,70,-69,Shared WiFi 3,36:69:87:3d:1e:51,-70,2462,102.13771945086296,19.892225339401183
AVIS-LPB,2a:53:4e:46:b5:9c,Unknown,0,WPA2-Personal,CCMP,802.11ax,6,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:54.6,00:01.3,Infrastructure,Unknown,65,-71,AVIS-LPB,2a:53:4e:46:b5:9c,-70,2437,102.13798504335018,19.89238047272535
Mandalaotour2 ,04:e7:95:3d:05:19,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,57:54.6,00:28.3,Infrastructure,Unknown,80,-65,Mandalaotour2 ,04:e7:95:3d:05:19,-74,5745,102.13752631944342,19.89203785040277
Mandalaotour2 ,04:e7:95:3d:05:14,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,5,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:54.6,00:14.1,Infrastructure,Unknown,75,-67,Mandalaotour2 ,04:e7:95:3d:05:14,-75,2432,102.13771945086296,19.892225339401183
Vone Laos,24:43:e2:92:61:59,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,40,0,0,"6,9,12,18,24,36,48,54",,57:54.6,00:56.2,Infrastructure,Unknown,78,-66,Vone Laos,24:43:e2:92:61:59,-78,5200,102.13752631944342,19.89203785040277
Lin Sivilay,b0:8b:92:76:28:60,zte corporation,0,WPA2-Personal,CCMP,802.11n,8,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:54.6,58:13.3,Infrastructure,Unknown,72,-68,Lin Sivilay,b0:8b:92:76:28:60,-74,2447,102.13771945086296,19.892225339401183
Queenaly,24:43:e2:92:51:b0,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:54.6,00:03.3,Infrastructure,Unknown,78,-66,Queenaly,24:43:e2:92:51:b0,-67,2422,102.13771945086296,19.892225339401183
ELEPHANT VILLAGE,14:4d:67:67:db:78,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",58:02.5,00:26.8,Infrastructure,Unknown,83,-58,ELEPHANT VILLAGE,14:4d:67:67:db:78,-59,2412,102.13752631944342,19.89203785040277
Queenaly,24:43:e2:92:53:19,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,153,0,0,"6,9,12,18,24,36,48,54",,58:06.2,00:01.3,Infrastructure,Unknown,80,-65,Queenaly,24:43:e2:92:53:19,-80,5765,102.13771945086296,19.892225339401183
Vone Laos,24:43:e2:92:61:58,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,5,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",58:09.6,00:34.5,Infrastructure,Unknown,82,-60,Vone Laos,24:43:e2:92:61:58,-73,2432,102.13752631944342,19.89203785040277
Vone Laos,24:43:e2:92:63:61,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,40,0,0,"6,9,12,18,24,36,48,54",,58:09.6,00:50.2,Infrastructure,Unknown,80,-65,Vone Laos,24:43:e2:92:63:61,-75,5200,102.13752631944342,19.89203785040277
nino_wifi6,9c:53:22:d6:27:f1,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ax,36,0,0,"6,9,12,18,24,36,48,54",,58:13.3,01:01.7,Infrastructure,Unknown,46,-77,nino_wifi6,9c:53:22:d6:27:f1,-79,5180,102.13713758412538,19.89174946757575
vivo Y16,fa:34:3f:30:4e:b4,Unknown,0,WPA2-Personal,CCMP,802.11ac,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",58:19.9,00:25.1,Infrastructure,Unknown,62,-72,vivo Y16,fa:34:3f:30:4e:b4,-81,2412,102.13752631944342,19.89203785040277
1ed3830d,f4:91:1e:d3:83:0d,ZHUHAI EWPE INFORMATION TECHNOLOGY INC,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,58:19.9,02:51.3,Infrastructure,Unknown,82,-60,1ed3830d,f4:91:1e:d3:83:0d,-79,2412,102.13685858059527,19.891492169569226
Vone Laos,24:43:e2:92:63:60,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,5,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",58:23.2,00:34.5,Infrastructure,Unknown,84,-57,Vone Laos,24:43:e2:92:63:60,-62,2432,102.13752631944342,19.89203785040277
Pink,b0:08:75:f9:35:d4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,58:23.2,00:37.5,Infrastructure,Unknown,62,-72,Pink,b0:08:75:f9:35:d4,-79,5180,102.13752631944342,19.89203785040277
Bakery_1_Floor,f4:28:54:04:d4:a0,Unknown,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",58:29.8,01:01.7,Infrastructure,Unknown,86,-54,Bakery_1_Floor,f4:28:54:04:d4:a0,-79,2437,102.13685858059527,19.891492169569226
So ly thi,14:eb:b6:bd:11:df,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11n,10,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",58:33.1,00:28.3,Infrastructure,Unknown,67,-70,So ly thi,14:eb:b6:bd:11:df,-65,2457,102.13752631944342,19.89203785040277
Thida,04:e7:95:3b:f3:20,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,58:36.3,00:39.0,Infrastructure,Unknown,40,-79,Thida,04:e7:95:3b:f3:20,-89,2462,102.13752631944342,19.89203785040277
Phounsab old building,9c:53:22:d6:27:f2,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ax,3,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",58:36.3,00:34.5,Infrastructure,Unknown,62,-72,Phounsab old building,9c:53:22:d6:27:f2,-78,2422,102.13752631944342,19.89203785040277
Ngaiy Ngaiy cafe,5c:64:7a:63:28:68,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,58:47.5,00:56.2,Infrastructure,Unknown,75,-67,Ngaiy Ngaiy cafe,5c:64:7a:63:28:68,-75,5745,102.13713758412538,19.89174946757575
Tiger,1c:3c:d4:0b:07:3d,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,48,0,0,"6,9,12,18,24,36,48,54",,58:54.3,00:59.5,Infrastructure,Unknown,31,-83,Tiger,1c:3c:d4:0b:07:3d,-82,5240,102.13713758412538,19.89174946757575
Luang prabang Massage&Spa 3,6c:14:6e:70:45:30,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,58:57.3,01:10.8,Infrastructure,Unknown,70,-69,Luang prabang Massage&Spa 3,6c:14:6e:70:45:30,-86,2462,102.13752631944342,19.89203785040277
