SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO_TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
KHAEK6666,28:d0:f5:cc:22:0d,"Ruijie Networks Co.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",56:45.0,58:46.6,Infrastructure,Unknown,38,-80,KHAEK6666,28:d0:f5:cc:22:0d,-79,2462,102.5469063657502,18.038839024215505
HONG TAI,24:43:e2:92:c7:b0,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",56:45.0,58:42.4,Infrastructure,Unknown,78,-66,HONG TAI,24:43:e2:92:c7:b0,-86,2412,102.54685866644786,18.03914977252634
Thip,cc:29:bd:68:63:38,zte corporation,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",56:49.2,58:42.4,Infrastructure,Unknown,46,-77,Thip,cc:29:bd:68:63:38,-78,2437,102.54673182413562,18.039903491330183
HONG TAI,24:43:e2:92:c7:b1,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,153,0,0,"6,9,12,18,24,36,48,54",,56:49.2,58:42.4,Infrastructure,Unknown,24,-86,HONG TAI,24:43:e2:92:c7:b1,-73,5765,102.54660012671545,18.040613597929053
VK,b0:8b:92:75:7b:3e,zte corporation,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",56:49.2,58:54.8,Infrastructure,Unknown,46,-77,VK,b0:8b:92:75:7b:3e,-78,2412,102.54715907149452,18.037248488941863
Tong,e8:f6:54:8b:7b:2d,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,48,0,0,"6,9,12,18,24,36,48,54",,56:52.9,58:46.6,Infrastructure,Unknown,29,-84,Tong,e8:f6:54:8b:7b:2d,-93,5240,102.54685866644786,18.03914977252634
Larn,c8:c4:65:f0:60:d0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,56:52.9,58:46.6,Infrastructure,Unknown,38,-80,Larn,c8:c4:65:f0:60:d0,-91,2437,102.54685866644786,18.03914977252634
Souliyasack,e8:6e:44:dd:4c:72,zte corporation,0,WPA2-Personal,CCMP,802.11n,7,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",56:52.9,58:50.0,Infrastructure,Unknown,50,-76,Souliyasack,e8:6e:44:dd:4c:72,-86,2442,102.54685866644786,18.03914977252634
T J C,3c:67:8c:41:e6:b0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",56:59.0,58:50.0,Infrastructure,Unknown,57,-74,T J C,3c:67:8c:41:e6:b0,-77,2462,102.54697734830218,18.03836759365869
Youi,e8:6e:44:dd:85:9c,zte corporation,0,WPA2-Personal,CCMP,802.11n,8,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:02.4,59:03.8,Infrastructure,Unknown,81,-63,Youi,e8:6e:44:dd:85:9c,-81,2447,102.54728559760191,18.03644543993065
UNITEL Wi-Fi,b0:8b:92:75:46:2e,zte corporation,0,WPA2-Personal,CCMP,802.11n,4,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:02.4,59:00.3,Infrastructure,Unknown,53,-75,UNITEL Wi-Fi,b0:8b:92:75:46:2e,-84,2427,102.54746903173934,18.0353299925224
Souckpaxai ,14:46:58:e6:4b:94,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,57:02.4,58:54.8,Infrastructure,Unknown,35,-81,Souckpaxai ,14:46:58:e6:4b:94,-82,5745,102.54697734830218,18.03836759365869
ETL-Wifi,14:4d:67:67:e6:fc,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:06.7,59:00.3,Infrastructure,Unknown,38,-80,ETL-Wifi,14:4d:67:67:e6:fc,-72,2437,102.54746903173934,18.0353299925224
Kheak,04:e7:95:3d:c3:34,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,9,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:10.9,59:12.3,Infrastructure,Unknown,43,-78,Kheak,04:e7:95:3d:c3:34,-85,2452,102.5475494703498,18.034857560774498
S.V.P CO.LTD,f4:28:53:e9:91:9c,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:10.9,59:17.4,Infrastructure,Unknown,84,-57,S.V.P CO.LTD,f4:28:53:e9:91:9c,-63,2437,102.5474961965966,18.035171585963607
Kheak,04:e7:95:3d:c3:38,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,57:15.3,59:12.3,Infrastructure,Unknown,14,-91,Kheak,04:e7:95:3d:c3:38,-90,5745,102.54736186476217,18.03596532869688
WirelessNet,f8:75:88:d6:05:88,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,2,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:15.3,59:12.3,Infrastructure,Unknown,70,-69,WirelessNet,f8:75:88:d6:05:88,-70,2417,102.5474961965966,18.035171585963607
WANNA AUTO PART1,64:2c:ac:d4:5d:d4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,6,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:24.7,59:21.1,Infrastructure,Unknown,18,-89,WANNA AUTO PART1,64:2c:ac:d4:5d:d4,-80,2437,102.54786460403528,18.03214492566489
Phounchup 1,bc:3f:8f:c9:5c:38,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,10,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:30.0,59:24.8,Infrastructure,Unknown,40,-79,Phounchup 1,bc:3f:8f:c9:5c:38,-90,2457,102.54786355970808,18.031993093194373
UNITEL_QIN,24:43:e2:3f:da:0f,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,1,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:30.0,59:29.9,Infrastructure,Unknown,53,-75,UNITEL_QIN,24:43:e2:3f:da:0f,-86,2412,102.54786460403528,18.03214492566489
WANNA AUTO PART1,64:2c:ac:d4:5d:d8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,57:34.4,59:29.9,Infrastructure,Unknown,18,-89,WANNA AUTO PART1,64:2c:ac:d4:5d:d8,-84,5180,102.54786460403528,18.03214492566489
CPG,e8:f6:54:bd:0e:81,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,48,0,0,"6,9,12,18,24,36,48,54",,57:34.4,59:29.9,Infrastructure,Unknown,22,-87,CPG,e8:f6:54:bd:0e:81,-85,5240,102.54784951045326,18.03290176898053
CPG,e8:f6:54:bd:0e:7c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,1,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:34.4,59:29.9,Infrastructure,Unknown,40,-79,CPG,e8:f6:54:bd:0e:7c,-79,2412,102.54786460403528,18.03214492566489
Outhom,4c:d7:c8:0e:e5:a8,Unknown,0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:34.4,59:29.9,Infrastructure,Unknown,53,-75,Outhom,4c:d7:c8:0e:e5:a8,-76,2462,102.54786460403528,18.03214492566489
AndroidAP_6018,82:db:38:51:44:0f,Unknown,0,OWE,CCMP,802.11ac,11,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:34.4,59:29.9,Infrastructure,Unknown,43,-78,AndroidAP_6018,82:db:38:51:44:0f,-90,2462,102.54784951045326,18.03290176898053
ITT,6c:14:6e:71:15:d8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0,0,"6,9,12,18,24,36,48,54",,57:39.0,59:29.9,Infrastructure,Unknown,14,-91,ITT,6c:14:6e:71:15:d8,-86,5745,102.54786460403528,18.03214492566489
Touy,b8:d6:f6:35:5d:34,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0,0,"6,9,12,18,24,36,48,54",,57:41.6,59:29.9,Infrastructure,Unknown,14,-91,Touy,b8:d6:f6:35:5d:34,-93,5180,102.54785881194744,18.031387188244384
Touy,b8:d6:f6:35:5d:30,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:41.6,59:29.9,Infrastructure,Unknown,53,-75,Touy,b8:d6:f6:35:5d:30,-79,2422,102.54785881194744,18.031387188244384
NOY,e8:f6:54:bd:1d:08,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,5,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:44.2,59:45.8,Infrastructure,Unknown,72,-68,NOY,e8:f6:54:bd:1d:08,-76,2432,102.54775042861128,18.02941783738756
Redmi Note 11 Pro,7a:3d:b8:44:5a:3a,Unknown,0,WPA2-Personal,CCMP,802.11ac,10,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:48.3,59:45.8,Infrastructure,Unknown,80,-65,Redmi Note 11 Pro,7a:3d:b8:44:5a:3a,-82,2457,102.54779012384012,18.03008140801565
NOY,e8:f6:54:bd:1d:0d,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,48,0,0,"6,9,12,18,24,36,48,54",,57:48.3,59:45.8,Infrastructure,Unknown,20,-88,NOY,e8:f6:54:bd:1d:0d,-85,5240,102.54779012384012,18.03008140801565
HUAWEI nova 7i,02:63:61:6c:9c:2b,Unknown,0,WPA2-Personal,CCMP,802.11ac,11,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:51.1,59:45.8,Infrastructure,Unknown,78,-66,HUAWEI nova 7i,02:63:61:6c:9c:2b,-89,2462,102.54776145235856,18.029639745605
Pei tu.kok,24:43:e2:91:77:80,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,11,0,0,"1,2,5.5,11","9,18,36,54,6,12,24,48",57:54.9,00:11.0,Infrastructure,Unknown,43,-78,Pei tu.kok,24:43:e2:91:77:80,-57,2462,102.54775042861128,18.02941783738756
Xaisongkham-2.4G,30:c5:0f:ab:e5:54,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,5,0,0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,57:54.9,00:17.2,Infrastructure,Unknown,40,-79,Xaisongkham-2.4G,30:c5:0f:ab:e5:54,-85,2432,102.54775911422767,18.029575271154247
Highway,5c:92:5e:2c:10:e8,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11ac,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:54.9,00:01.8,Infrastructure,Unknown,38,-80,Highway,5c:92:5e:2c:10:e8,-84,2412,102.5487604252708,18.029101316810586
UNITEL_niphaphone,5c:92:5e:c7:18:74,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11ac,1,0,0,"1,2,5.5,11","6,9,12,18,24,36,48,54",57:54.9,00:07.7,Infrastructure,Unknown,75,-67,UNITEL_niphaphone,5c:92:5e:c7:18:74,-71,2412,102.54774673290736,18.02932516344293
